Country,GDP per capita (current US$),Human Development Index (HDI) ,Life expectancy at birth,Mean years of schooling,"Total Population, as of 1 July (thousands)","Median Age, as of 1 July (years)","Natural Change, Births minus Deaths (thousands)","Rate of Natural Change (per 1,000 population)",Population Change (thousands),Population Growth Rate (percentage),Population Annual Doubling Time (years),Births (thousands),Births by women aged 15 to 19 (thousands),"Crude Birth Rate (births per 1,000 population)",Total Fertility Rate (live births per woman),Net Reproduction Rate (surviving daughters per woman),Sex Ratio at Birth (males per 100 female births),Total Deaths (thousands),"Crude Death Rate (deaths per 1,000 population)","Life Expectancy at Birth, both sexes (years)","Life Expectancy at Age 15, both sexes (years)","Life Expectancy at Age 65, both sexes (years)","Life Expectancy at Age 80, both sexes (years)","Infant Deaths, under age 1 (thousands)","Infant Mortality Rate (infant deaths per 1,000 live births)",Live Births Surviving to Age 1 (thousands),"Under-Five Deaths, under age 5 (thousands)","Under-Five Mortality (deaths under age 5 per 1,000 live births)","Mortality before Age 40, both sexes (deaths under age 40 per 1,000 live births)","Mortality before Age 60, both sexes (deaths under age 60 per 1,000 live births)","Mortality between Age 15 and 50, both sexes (deaths under age 50 per 1,000 alive at age 15)","Mortality between Age 15 and 60, both sexes (deaths under age 60 per 1,000 alive at age 15)",Net Number of Migrants (thousands),"Net Migration Rate (per 1,000 population)"
Anguilla,,,,,15.75,36.74,0.04,2.79,0.16,0.99,70.02,0.15,0.01,9.57,1.27,0.62,103.60,0.11,6.78,76.61,62.31,16.66,7.38,0.00,6.55,0.15,0.00,7.82,27.89,109.39,42.47,101.03,0.11,7.07
"Bonaire, Sint Eustatius and Saba",,,,,26.71,39.35,0.01,0.38,0.53,1.97,35.19,0.29,0.02,10.82,1.66,0.79,105.00,0.28,10.44,75.09,61.44,15.57,6.68,0.00,13.54,0.28,0.00,15.71,34.63,114.32,38.43,97.98,0.51,19.09
British Virgin Islands,,,,,31.12,38.23,0.00,0.02,0.12,0.40,,0.24,0.02,7.63,1.01,0.48,105.30,0.24,7.61,74.49,60.92,15.03,6.36,0.00,14.56,0.23,0.00,17.12,33.69,116.55,36.72,99.30,0.13,4.12
"China, Taiwan Province of China",,,,,23859.91,41.35,9.35,0.39,35.76,0.15,,185.89,2.46,7.80,1.11,0.53,107.00,176.53,7.40,81.01,66.43,20.37,9.62,0.66,3.57,185.32,0.83,4.40,19.86,89.70,37.78,84.77,26.39,1.11
Cook Islands,,,,,17.00,33.08,0.13,7.75,-0.03,-0.16,,0.28,0.03,16.21,2.25,1.07,106.00,0.14,8.45,74.76,60.45,16.36,7.45,0.00,6.13,0.28,0.00,7.33,39.77,148.89,65.17,140.74,-0.16,-9.37
Dem. People's Republic of Korea,,,73.28,,25971.91,35.63,102.00,3.93,100.42,0.39,,343.89,1.96,13.24,1.81,0.85,106.00,241.89,9.31,73.28,59.97,16.38,7.33,4.38,12.74,340.05,5.44,15.80,69.00,166.60,80.54,146.40,-1.59,-0.06
Eritrea,,0.49,66.54,4.89,3620.31,18.19,79.45,21.90,64.46,1.78,38.92,103.86,13.90,28.62,3.87,1.76,103.20,24.42,6.73,66.54,55.06,13.52,5.82,2.99,28.83,101.24,3.90,37.91,117.07,253.76,117.61,212.26,-14.99,-4.13
Falkland Islands (Malvinas),,,,,3.76,39.48,0.01,3.93,0.01,0.37,,0.04,0.00,11.30,1.59,0.77,103.00,0.03,7.37,78.62,64.64,17.74,7.78,0.00,9.74,0.04,0.00,11.28,24.59,80.56,26.32,68.44,0.00,1.06
French Guiana,,,,,297.45,23.68,6.04,20.33,6.64,2.23,31.06,7.50,0.81,25.25,3.51,1.70,103.70,1.46,4.92,74.89,60.72,15.36,6.63,0.06,8.13,7.45,0.07,9.66,29.93,122.27,44.66,112.25,0.60,2.03
Gibraltar,,,,,32.67,41.66,-0.03,-0.83,-0.09,-0.27,,0.35,0.01,10.71,1.85,0.88,106.50,0.38,11.55,79.33,65.42,18.85,9.10,0.00,9.10,0.35,0.00,11.54,31.23,82.81,32.81,69.82,-0.06,-1.77
Guadeloupe,,,,,396.05,42.28,0.38,0.95,-0.27,-0.07,,4.47,0.13,11.27,2.05,1.00,103.40,4.09,10.32,80.54,65.94,19.95,10.08,0.02,4.18,4.45,0.02,4.57,19.32,87.16,34.55,82.45,-0.64,-1.61
Guernsey,,,,,63.07,38.98,0.11,1.70,0.23,0.36,,0.61,0.02,9.73,1.46,0.70,105.40,0.51,8.03,82.23,67.94,20.15,9.28,0.00,6.53,0.61,0.01,7.59,16.37,52.50,17.13,44.15,0.12,1.94
Isle of Man,,,,,84.26,45.30,-0.17,-2.08,0.34,0.41,,0.72,0.04,8.53,1.56,0.75,105.00,0.89,10.60,80.53,66.82,20.24,9.61,0.01,10.61,0.71,0.01,13.44,35.03,84.17,34.81,69.05,0.52,6.15
Jersey,,,,,109.62,39.78,0.18,1.67,1.31,1.19,58.05,1.13,0.03,10.40,1.48,0.71,105.40,0.95,8.74,80.66,66.49,19.08,8.67,0.01,7.80,1.13,0.01,9.03,19.65,63.70,20.84,53.86,1.12,10.27
Martinique,,,,,368.80,46.28,-0.61,-1.66,-2.07,-0.56,,3.52,0.14,9.54,1.92,0.93,102.60,4.14,11.19,80.69,66.74,20.17,9.56,0.03,8.80,3.50,0.04,11.85,23.35,82.21,27.56,70.11,-1.45,-3.93
Mayotte,,,,,316.01,16.51,9.64,30.55,10.38,3.29,21.09,10.64,0.90,33.71,4.44,2.16,102.60,1.00,3.16,74.23,59.69,15.51,6.96,0.04,4.01,10.60,0.05,4.88,31.89,148.58,61.03,143.06,0.75,2.36
Montserrat,,,,,4.42,42.96,-0.01,-1.96,-0.06,-1.27,,0.04,0.01,9.08,1.57,0.75,104.30,0.05,11.04,75.59,61.69,16.01,6.92,0.00,10.70,0.04,0.00,12.69,33.65,113.74,42.33,100.58,-0.04,-9.00
Niue,,,,,1.94,35.83,0.00,0.11,-0.01,-0.62,,0.03,0.00,13.96,2.45,1.13,107.10,0.03,13.85,70.82,57.87,14.30,6.29,0.00,20.11,0.03,0.00,24.21,64.21,186.89,74.70,162.64,0.00,-2.04
Northern Mariana Islands,,,,,49.48,38.72,0.31,6.29,-0.12,-0.25,,0.61,0.05,12.24,2.17,1.00,115.10,0.30,5.95,77.19,62.84,16.85,7.42,0.00,5.65,0.61,0.00,6.98,25.17,99.02,37.25,91.20,-0.43,-8.67
Réunion,,,,,966.13,33.90,8.43,8.73,8.00,0.83,83.71,14.07,0.91,14.56,2.26,1.10,103.00,5.64,5.84,81.61,67.28,20.85,10.03,0.08,5.93,14.00,0.11,7.43,23.58,79.51,33.00,71.78,-0.42,-0.44
Saint Barthélemy,,,,,10.86,38.58,0.03,2.59,0.19,1.72,40.25,0.09,0.00,8.16,1.01,0.49,104.00,0.06,5.57,80.43,66.29,19.12,8.93,0.00,8.12,0.09,0.00,9.36,20.51,69.29,22.20,59.13,0.15,14.13
Saint Helena,,,,,5.40,50.87,-0.05,-8.43,0.00,-0.06,,0.04,0.00,7.66,1.65,0.79,105.40,0.09,16.08,76.84,63.06,16.64,7.32,0.00,11.94,0.04,0.00,13.82,30.19,95.54,31.87,80.88,0.03,6.38
Saint Pierre and Miquelon,,,,,5.88,43.71,-0.03,-4.78,-0.02,-0.36,,0.05,0.00,7.58,1.56,0.75,105.40,0.07,12.36,77.19,63.07,17.01,7.65,0.00,8.36,0.05,0.00,9.91,27.17,99.59,35.28,89.15,0.01,1.36
South Sudan,,0.39,54.98,5.73,10748.27,16.07,194.39,18.06,162.52,1.51,45.84,313.35,63.97,29.11,4.47,1.77,103.50,118.96,11.05,54.98,48.36,11.60,4.98,20.00,64.00,297.84,31.47,99.54,259.84,438.91,222.63,347.61,-31.89,-2.96
State of Palestine,,0.72,73.47,9.94,5133.39,19.21,125.52,24.42,113.15,2.20,31.45,145.13,11.63,28.24,3.50,1.67,105.10,19.61,3.82,73.47,59.87,14.51,6.10,2.01,13.85,143.28,2.38,16.38,38.24,131.62,44.37,114.74,-12.37,-2.41
Tokelau,,,,,1.85,26.51,0.02,11.39,0.02,1.30,53.40,0.04,0.00,18.71,2.71,1.30,103.00,0.01,7.31,75.23,60.84,16.58,7.49,0.00,4.64,0.04,0.00,5.84,39.71,140.95,63.79,133.61,0.00,0.00
Venezuela (Bolivarian Republic of),,0.69,70.55,11.11,28199.87,28.06,220.65,7.75,-304.42,-1.08,,451.86,104.94,15.88,2.21,1.04,105.40,231.21,8.12,70.55,57.14,15.27,6.13,7.12,15.74,445.58,8.56,18.65,94.79,202.79,110.19,184.27,-525.12,-18.45
Wallis and Futuna Islands,,,,,11.63,35.84,0.05,4.44,-0.03,-0.25,,0.14,0.01,11.82,1.96,0.94,104.80,0.09,7.37,78.44,64.48,17.93,8.77,0.00,10.47,0.14,0.00,12.16,23.05,86.47,25.85,74.21,-0.08,-7.11
Western Sahara,,,,,565.58,30.92,5.96,10.58,9.46,1.67,41.43,9.46,0.68,16.78,2.31,1.08,105.10,3.50,6.20,70.78,58.31,14.13,5.89,0.24,25.60,9.25,0.29,30.57,65.84,177.67,65.88,147.56,3.50,6.20
