Country,GDP per capita (current US$),Human Development Index (HDI) ,Life expectancy at birth,Mean years of schooling,"Total Population, as of 1 July (thousands)","Median Age, as of 1 July (years)","Natural Change, Births minus Deaths (thousands)","Rate of Natural Change (per 1,000 population)",Population Change (thousands),Population Growth Rate (percentage),Population Annual Doubling Time (years),Births (thousands),Births by women aged 15 to 19 (thousands),"Crude Birth Rate (births per 1,000 population)",Total Fertility Rate (live births per woman),Net Reproduction Rate (surviving daughters per woman),Sex Ratio at Birth (males per 100 female births),Total Deaths (thousands),"Crude Death Rate (deaths per 1,000 population)","Life Expectancy at Birth, both sexes (years)","Life Expectancy at Age 15, both sexes (years)","Life Expectancy at Age 65, both sexes (years)","Life Expectancy at Age 80, both sexes (years)","Infant Deaths, under age 1 (thousands)","Infant Mortality Rate (infant deaths per 1,000 live births)",Live Births Surviving to Age 1 (thousands),"Under-Five Deaths, under age 5 (thousands)","Under-Five Mortality (deaths under age 5 per 1,000 live births)","Mortality before Age 40, both sexes (deaths under age 40 per 1,000 live births)","Mortality before Age 60, both sexes (deaths under age 60 per 1,000 live births)","Mortality between Age 15 and 50, both sexes (deaths under age 50 per 1,000 alive at age 15)","Mortality between Age 15 and 60, both sexes (deaths under age 60 per 1,000 alive at age 15)",Net Number of Migrants (thousands),"Net Migration Rate (per 1,000 population)"
Lesotho,1029.51,0.51,53.06,6.01,2281.45,22.08,27.21,11.92,25.72,1.13,61.50,59.58,10.32,26.11,3.02,1.28,102.80,32.38,14.19,53.06,43.81,10.99,5.80,4.03,67.55,56.60,5.19,87.11,248.42,545.73,309.81,494.60,-1.49,-0.65
Zambia,1134.71,0.57,61.22,7.19,19473.13,16.93,536.21,27.54,545.23,2.80,24.76,672.00,126.89,34.51,4.31,1.95,101.10,135.79,6.97,61.22,50.53,11.40,4.90,27.14,40.48,649.28,37.91,57.19,147.17,356.12,168.41,309.11,9.02,0.46
United Republic of Tanzania,1146.03,0.55,66.20,6.37,63588.33,16.79,1907.39,29.99,1902.53,2.99,23.17,2303.11,429.26,36.21,4.73,2.16,103.00,395.72,6.22,66.20,54.85,13.27,6.18,78.88,34.33,2235.41,104.17,45.87,104.12,264.55,110.26,222.75,-4.87,-0.08
Guinea,1189.18,0.47,58.89,2.20,13531.91,17.71,330.73,24.44,326.37,2.41,28.74,465.95,82.90,34.43,4.40,1.82,104.50,135.22,9.99,58.89,51.45,12.26,5.22,29.94,64.38,442.78,42.87,93.05,206.18,367.41,167.18,282.24,-4.37,-0.32
Nepal,1229.39,0.60,68.45,5.12,30034.99,23.65,377.39,12.63,673.92,2.24,30.89,609.79,101.34,20.40,2.03,0.95,105.00,232.40,7.78,68.45,55.77,12.71,5.27,13.92,22.84,597.37,16.65,27.38,73.36,213.07,84.49,185.40,296.54,9.92
Myanmar,1231.69,0.59,65.67,6.38,53798.08,29.03,394.69,7.33,359.32,0.67,103.77,920.40,74.36,17.10,2.15,0.98,106.60,525.70,9.77,65.67,54.17,12.53,5.23,31.04,33.69,893.71,39.55,42.79,109.20,263.37,113.65,222.72,-35.38,-0.66
Benin,1360.91,0.53,59.82,4.30,12996.90,17.46,353.21,27.17,354.94,2.73,25.38,475.83,61.68,36.61,4.97,2.09,104.10,122.63,9.43,59.82,51.76,12.39,5.28,26.09,54.97,454.92,39.02,83.38,195.73,354.60,163.82,275.89,1.73,0.13
Kyrgyzstan,1365.51,0.69,69.98,11.37,6527.74,23.74,117.17,17.93,100.65,1.54,44.95,157.66,9.09,24.13,2.99,1.42,105.70,40.50,6.20,69.98,56.28,13.16,5.49,2.37,14.99,155.58,2.68,16.88,50.63,203.01,85.23,187.86,-16.51,-2.53
Pakistan,1506.11,0.54,66.10,4.54,231402.12,20.17,4714.34,20.35,4242.99,1.83,37.79,6374.74,510.24,27.52,3.47,1.56,105.50,1660.40,7.17,66.10,55.94,12.82,5.32,333.26,52.30,6105.64,401.44,63.18,106.34,240.69,83.23,183.88,-471.40,-2.04
Comoros,1577.47,0.56,63.42,5.08,821.63,20.06,17.01,20.68,15.24,1.86,37.37,24.18,2.33,29.40,3.98,1.78,103.20,7.17,8.72,63.42,52.94,11.68,4.93,1.10,45.61,23.28,1.41,58.52,125.59,294.67,120.46,242.77,-1.77,-2.15
Cambodia,1625.24,0.59,69.58,5.09,16589.02,26.52,207.43,12.50,183.17,1.10,62.79,320.93,32.87,19.33,2.34,1.09,105.20,113.51,6.84,69.58,56.94,14.22,6.07,6.70,20.85,314.93,8.00,24.75,84.92,207.37,94.42,179.32,-24.26,-1.46
Senegal,1633.56,0.51,67.09,2.94,16876.72,17.77,449.99,26.65,439.89,2.61,26.59,549.98,59.44,32.57,4.39,2.03,103.10,100.00,5.92,67.09,55.19,12.46,4.72,13.38,24.36,538.10,19.91,36.71,93.54,230.92,96.72,193.94,-10.09,-0.60
Cameroon,1654.26,0.58,60.33,6.15,27198.63,17.46,717.05,26.36,707.17,2.60,26.66,950.55,159.37,34.94,4.46,1.96,103.00,233.50,8.58,60.33,50.58,11.81,5.28,46.00,48.46,913.36,65.62,69.74,166.72,367.71,173.61,310.55,-9.89,-0.36
Kiribati,1766.14,0.62,67.42,7.98,128.87,21.88,2.71,20.97,2.41,1.87,37.13,3.51,0.23,27.21,3.30,1.48,107.20,0.81,6.24,67.42,56.24,13.37,5.70,0.13,38.18,3.40,0.17,47.52,99.08,228.17,89.76,183.18,-0.30,-2.29
Zimbabwe,1773.92,0.59,59.25,8.71,15993.52,18.05,343.83,21.48,318.84,1.99,34.76,488.81,86.69,30.54,3.49,1.56,102.40,144.97,9.06,59.25,48.07,11.85,5.77,17.96,36.76,473.57,25.36,52.15,172.06,424.99,226.67,386.45,-25.01,-1.56
Haiti,1823.74,0.54,63.19,5.55,11447.57,23.02,169.92,14.82,136.95,1.20,57.96,269.38,29.93,23.50,2.81,1.26,103.00,99.46,8.68,63.19,53.00,12.25,5.16,12.40,45.99,259.15,16.20,60.11,139.54,302.47,131.01,247.31,-32.98,-2.88
Angola,1927.47,0.59,61.64,5.42,34503.77,16.18,1062.51,30.80,1091.60,3.16,21.91,1338.79,248.20,38.81,5.30,2.35,102.70,276.28,8.01,61.64,51.92,12.13,5.35,64.13,48.06,1286.77,90.49,68.85,154.73,337.60,152.33,278.77,29.09,0.84
Uzbekistan,1993.42,0.73,70.86,11.90,34081.45,26.59,582.38,17.08,543.20,1.59,43.49,802.88,19.95,23.55,2.86,1.35,108.10,220.49,6.47,70.86,56.92,12.93,5.46,9.46,11.73,794.64,10.59,13.16,41.27,174.74,65.33,162.16,-39.20,-1.15
Mauritania,1998.39,0.56,64.36,4.92,4614.97,17.57,118.90,25.75,117.40,2.54,27.25,153.24,19.80,33.19,4.40,1.98,103.30,34.35,7.44,64.36,54.08,11.75,4.81,6.92,45.27,147.56,9.21,60.95,116.73,266.61,100.46,211.21,-1.49,-0.32
Nicaragua,2064.93,0.67,73.84,7.14,6850.54,24.54,107.28,15.65,96.91,1.42,48.99,140.59,27.51,20.51,2.32,1.12,103.50,33.31,4.86,73.84,60.13,16.06,6.69,1.84,13.06,138.98,2.18,15.45,50.33,157.84,68.90,142.75,-10.38,-1.52
Nigeria,2065.77,0.54,52.68,7.18,213401.32,17.02,5130.59,24.03,5054.22,2.37,29.26,7923.29,1144.08,37.12,5.24,1.98,103.80,2792.70,13.08,52.68,46.96,11.06,4.68,576.68,73.04,7490.71,865.38,111.24,288.24,475.37,244.13,376.32,-76.36,-0.36
Kenya,2069.66,0.58,61.43,6.65,53005.61,19.15,1041.09,19.63,988.53,1.87,37.17,1468.36,192.91,27.69,3.34,1.51,102.20,427.27,8.06,61.43,49.51,13.16,6.75,43.72,29.81,1430.19,59.91,41.13,153.57,398.14,214.92,366.73,-52.55,-0.99
Solomon Islands,2232.54,0.56,70.35,5.71,707.85,19.25,17.54,24.76,16.73,2.36,29.32,21.10,2.08,29.79,3.98,1.85,107.00,3.56,5.03,70.35,57.05,13.43,5.61,0.33,15.80,20.79,0.39,18.73,61.08,184.49,75.18,163.97,-0.81,-1.14
India,2238.13,0.63,67.24,6.66,1407563.84,27.60,9813.92,6.97,9511.95,0.68,102.54,23113.53,1052.74,16.42,2.03,0.93,107.70,13299.62,9.45,67.24,54.70,12.75,5.78,589.23,25.48,22591.30,724.16,31.19,80.51,249.65,98.54,221.40,-301.97,-0.22
Sao Tome and Principe,2350.45,0.62,67.59,6.22,223.11,18.37,4.89,21.88,4.10,1.84,37.77,6.32,1.02,28.26,3.82,1.80,102.70,1.43,6.39,67.59,53.90,12.87,5.79,0.08,12.10,6.25,0.09,14.61,78.57,255.51,120.00,240.38,-0.79,-3.54
Ghana,2422.09,0.63,63.80,8.33,32833.03,20.37,654.21,19.92,642.95,1.96,35.40,904.68,106.34,27.55,3.56,1.58,103.80,250.47,7.63,63.80,53.02,12.91,5.52,29.04,32.10,879.55,38.96,43.26,148.12,301.11,148.45,252.01,-11.25,-0.34
Bangladesh,2457.92,0.66,72.38,7.38,169356.25,26.28,2057.19,12.14,1882.69,1.11,62.33,3019.67,623.43,17.82,1.98,0.93,105.00,962.48,5.68,72.38,59.78,15.66,7.27,69.21,22.91,2957.72,83.60,27.70,57.74,170.21,57.80,141.94,-174.50,-1.03
Lao People's Democratic Republic,2535.62,0.61,68.06,5.37,7425.06,23.78,114.13,15.36,103.83,1.40,49.58,163.26,26.01,21.97,2.50,1.15,105.30,49.14,6.61,68.06,56.48,13.14,5.49,5.62,34.38,158.44,6.97,42.59,85.52,215.34,79.66,174.81,-10.30,-1.39
Congo,2540.47,0.57,63.52,6.17,5835.81,18.16,137.96,23.63,133.49,2.29,30.30,179.19,30.60,30.69,4.17,1.90,102.60,41.24,7.06,63.52,51.84,11.92,5.24,5.67,31.66,174.28,7.69,43.19,121.62,318.84,149.49,281.92,-4.47,-0.77
Côte d'Ivoire,2613.38,0.55,58.60,5.20,27478.25,17.60,685.49,24.93,664.48,2.42,28.67,932.94,158.76,33.93,4.42,1.91,103.00,247.45,9.00,58.60,49.08,11.82,5.72,52.95,56.92,891.65,69.75,75.67,185.33,411.37,202.34,354.31,-21.00,-0.76
Papua New Guinea,2624.60,0.56,65.35,4.74,9949.44,21.76,187.26,18.83,197.95,1.99,34.83,253.72,26.59,25.51,3.22,1.44,107.70,66.46,6.68,65.35,53.72,12.14,5.30,8.61,33.91,246.34,10.70,42.26,103.21,269.35,111.70,230.47,10.70,1.08
Timor-Leste,2741.95,0.61,67.74,5.44,1320.94,20.27,23.41,17.71,21.41,1.62,42.76,32.98,2.57,24.94,3.15,1.43,107.10,9.56,7.23,67.74,56.05,12.90,5.36,1.10,33.43,32.03,1.35,41.15,85.97,221.00,82.80,181.79,-2.00,-1.51
Honduras,2771.72,0.62,70.12,7.09,10278.35,23.43,158.99,15.46,153.22,1.49,46.49,216.65,37.66,21.07,2.36,1.12,105.10,57.65,5.61,70.12,56.48,13.11,5.59,2.90,13.40,214.10,3.50,16.17,53.35,192.27,76.17,176.12,-5.78,-0.56
Vanuatu,3044.57,0.61,70.45,7.06,319.14,19.49,7.68,24.04,7.48,2.34,29.58,9.40,0.95,29.44,3.74,1.73,107.00,1.72,5.40,70.45,57.49,13.69,5.97,0.19,20.28,9.23,0.23,24.45,62.69,182.15,71.97,157.78,-0.20,-0.62
Djibouti,3062.55,0.51,62.30,4.10,1105.56,23.74,14.43,13.06,15.18,1.37,50.48,24.54,1.29,22.21,2.80,1.23,103.80,10.11,9.15,62.31,52.24,12.53,5.31,0.95,38.57,23.74,1.33,54.34,162.18,323.71,156.58,266.99,0.74,0.67
Bolivia (Plurinational State of),3345.02,0.69,63.63,9.83,12079.47,23.94,143.66,11.89,138.99,1.15,60.22,263.82,36.81,21.84,2.62,1.21,104.20,120.16,9.95,63.63,51.36,10.50,4.64,7.05,26.72,257.60,9.36,35.51,94.59,306.05,121.64,275.23,-4.67,-0.39
Cabo Verde,3398.17,0.66,74.05,6.29,587.93,26.50,6.43,10.92,5.16,0.88,79.04,9.98,1.44,16.95,1.90,0.91,103.30,3.55,6.03,74.05,60.24,15.92,6.58,0.12,11.50,9.88,0.14,13.58,41.22,154.35,62.05,140.44,-1.27,-2.17
Philippines,3460.54,0.70,69.27,8.97,113880.33,24.50,1652.12,14.50,1571.99,1.38,50.23,2485.01,251.22,21.81,2.75,1.27,107.80,832.89,7.31,69.27,56.31,12.59,4.76,53.35,21.48,2437.20,62.88,25.39,62.23,194.19,74.57,169.77,-80.13,-0.70
Bhutan,3560.20,0.67,71.82,5.17,777.49,28.19,4.67,6.01,4.96,0.64,108.64,9.70,0.67,12.48,1.41,0.66,104.80,5.04,6.48,71.82,59.06,14.41,6.03,0.22,22.59,9.51,0.26,26.84,57.93,160.47,58.43,133.59,0.29,0.37
Micronesia (Fed. States of),3588.76,0.63,70.71,7.80,113.13,23.35,1.65,14.57,1.01,0.90,77.36,2.36,0.21,20.78,2.71,1.27,107.00,0.71,6.21,70.71,57.71,14.21,6.32,0.05,19.81,2.32,0.06,23.86,64.63,187.88,76.81,164.30,-0.64,-5.60
Algeria,3700.31,0.75,76.38,8.07,44177.97,27.80,750.05,16.98,731.25,1.66,41.88,950.89,17.90,21.52,2.89,1.37,104.60,200.84,4.55,76.38,63.31,16.92,7.23,17.83,18.70,935.09,21.23,22.11,40.46,103.57,35.55,80.34,-18.80,-0.43
Viet Nam,3756.49,0.70,73.62,8.37,97468.03,32.02,749.49,7.69,748.51,0.77,90.25,1462.62,117.17,15.01,1.94,0.89,111.40,713.13,7.32,73.62,60.65,16.43,7.40,23.91,16.32,1440.89,30.71,20.83,66.88,155.54,70.53,131.24,-0.99,-0.01
Morocco,3767.52,0.68,74.04,5.92,37076.58,28.67,422.00,11.38,375.77,1.01,68.36,650.89,38.40,17.55,2.33,1.11,104.70,228.89,6.17,74.04,60.57,14.95,6.36,10.03,15.40,641.74,11.72,17.92,37.44,124.97,40.55,106.52,-46.24,-1.25
Tunisia,3807.18,0.73,73.77,7.43,12262.95,31.74,100.69,8.21,91.50,0.75,92.92,197.40,2.75,16.09,2.09,0.99,105.30,96.71,7.88,73.77,60.19,14.98,6.34,2.74,13.83,195.00,3.26,16.32,43.24,130.38,50.17,113.22,-9.19,-0.75
Samoa,3857.69,0.71,72.77,11.40,218.76,20.61,4.80,21.91,3.93,1.80,38.59,5.98,0.45,27.25,3.93,1.84,107.60,1.17,5.34,72.77,59.21,14.94,6.59,0.08,14.07,5.90,0.10,16.76,49.17,158.24,62.91,141.01,-0.88,-4.02
Egypt,3886.72,0.73,70.22,9.57,109262.18,23.94,1773.62,16.23,1741.26,1.59,43.49,2465.01,211.38,22.56,2.92,1.39,105.40,691.38,6.33,70.22,56.66,12.36,5.27,39.29,15.93,2430.33,46.60,18.85,38.25,174.97,51.93,157.78,-32.37,-0.30
Sri Lanka,3996.57,0.78,76.40,10.83,21773.44,32.47,145.28,6.66,52.89,0.24,,305.88,13.56,14.02,1.99,0.96,104.40,160.59,7.36,76.40,62.01,16.36,7.31,1.74,5.68,304.38,2.06,6.70,26.44,110.09,44.41,102.82,-92.40,-4.24
Eswatini,4068.57,0.60,57.07,5.60,1192.27,21.48,15.27,12.78,10.37,0.87,79.76,28.83,4.28,24.13,2.84,1.27,102.90,13.57,11.36,57.07,45.57,11.19,5.33,1.09,37.64,27.91,1.47,50.50,191.65,483.50,275.35,450.47,-4.90,-4.10
Iran (Islamic Republic of),4084.20,0.77,73.87,10.64,87923.43,31.92,638.34,7.26,666.42,0.76,91.44,1204.11,84.25,13.70,1.69,0.80,105.40,565.77,6.44,73.88,60.08,14.98,6.15,12.91,10.68,1192.89,15.71,12.64,45.42,131.03,55.00,116.26,28.08,0.32
Lebanon,4136.15,0.71,75.05,8.72,5592.63,28.27,37.72,6.68,-77.39,-1.38,,84.45,4.82,14.95,2.09,1.00,105.30,46.73,8.27,75.05,60.68,14.90,6.26,0.49,5.79,83.99,0.58,6.77,24.55,110.84,38.79,103.15,-115.12,-20.38
Jordan,4152.76,0.72,74.26,10.45,11148.28,23.41,201.46,18.08,215.83,1.94,35.80,244.56,13.32,21.95,2.83,1.35,104.90,43.10,3.87,74.26,60.48,14.74,6.18,3.03,12.39,241.76,3.50,14.35,33.03,118.96,39.48,104.12,14.37,1.29
Indonesia,4334.22,0.71,67.57,8.56,273753.19,29.44,1741.19,6.36,1726.20,0.63,109.85,4496.38,366.97,16.43,2.18,1.01,106.00,2755.19,10.07,67.57,54.39,12.05,5.05,83.51,18.56,4422.25,100.73,22.32,70.64,233.90,95.94,212.59,-14.99,-0.06
Tonga,4425.97,0.75,70.99,11.39,106.02,21.57,1.71,16.08,0.76,0.72,96.14,2.45,0.11,23.05,3.24,1.50,108.10,0.74,6.97,70.99,57.05,14.81,6.70,0.02,9.58,2.43,0.03,11.38,63.90,206.45,97.22,194.02,-0.95,-8.90
Mongolia,4566.14,0.74,70.98,9.42,3347.78,26.79,51.15,15.28,51.15,1.53,45.36,71.67,2.90,21.41,2.84,1.36,104.60,20.52,6.13,70.98,57.12,14.12,6.73,0.90,12.50,70.88,1.08,14.81,45.39,197.14,80.41,183.89,0.00,0.00
Fiji,4656.05,0.73,67.11,10.92,924.61,26.78,9.73,10.49,3.71,0.40,,17.94,1.07,19.35,2.48,1.15,107.20,8.22,8.86,67.11,54.28,11.83,5.30,0.42,23.08,17.57,0.50,27.90,62.66,242.63,85.10,217.51,-6.00,-6.47
El Salvador,4664.31,0.68,70.75,7.15,6314.17,26.27,46.60,7.36,19.26,0.31,,101.41,15.90,16.03,1.80,0.86,104.80,54.80,8.66,70.75,56.84,15.30,6.78,1.08,10.65,100.46,1.29,12.67,74.58,220.56,113.45,208.08,-27.34,-4.32
Iraq,4770.84,0.69,70.38,7.91,43533.59,19.79,985.25,22.61,925.15,2.13,32.62,1192.35,136.77,27.37,3.50,1.64,105.70,207.10,4.75,70.38,57.41,13.33,5.49,24.23,20.34,1170.54,29.20,24.62,58.26,178.70,66.14,154.34,-60.10,-1.38
Ukraine,4827.85,0.77,71.62,11.13,43531.42,40.76,-395.27,-9.08,-394.44,-0.91,,336.10,15.53,7.72,1.25,0.60,106.40,731.36,16.80,71.62,57.18,14.60,6.71,1.87,5.55,334.49,2.22,6.51,43.90,199.23,92.12,192.82,0.83,0.02
Namibia,4919.19,0.62,59.27,7.19,2530.15,21.34,42.37,16.73,38.06,1.50,46.09,69.49,7.84,27.44,3.30,1.51,101.10,27.12,10.71,59.27,47.06,11.25,5.40,1.92,27.66,67.80,2.67,38.57,159.87,438.92,239.20,411.38,-4.30,-1.70
Armenia,4972.78,0.76,72.04,11.33,2790.97,34.41,-2.68,-0.96,-15.50,-0.56,,33.70,1.44,12.05,1.58,0.74,109.50,36.38,13.01,72.04,57.85,13.91,6.66,0.32,9.35,33.43,0.36,10.44,28.86,171.23,56.61,161.81,-12.83,-4.59
Georgia,5023.27,0.80,71.69,12.82,3757.98,36.37,-6.59,-1.75,-9.32,-0.25,,50.43,3.18,13.41,2.08,0.99,106.80,57.02,15.17,71.69,57.40,13.72,5.87,0.41,8.06,50.08,0.45,9.01,38.65,174.81,71.47,166.60,-2.73,-0.73
Suriname,5026.88,0.73,70.27,9.78,612.99,27.93,5.82,9.49,5.32,0.87,79.86,11.13,1.53,18.15,2.35,1.12,104.10,5.32,8.67,70.27,56.63,14.31,6.77,0.17,15.26,10.98,0.19,17.07,57.03,216.11,88.28,200.67,-0.49,-0.80
Guatemala,5029.48,0.63,69.24,5.68,17608.48,22.07,257.55,14.62,228.44,1.30,53.44,372.15,59.75,21.12,2.40,1.13,103.90,114.60,6.50,69.24,56.06,14.67,7.12,7.10,19.05,365.84,8.62,22.90,75.91,238.54,107.67,217.98,-29.12,-1.65
Jamaica,5183.58,0.71,70.50,9.15,2827.70,30.82,8.25,2.92,2.59,0.09,,33.15,3.70,11.71,1.35,0.65,103.90,24.90,8.80,70.50,56.59,13.21,5.49,0.37,11.15,32.83,0.45,13.33,48.74,190.94,78.28,178.05,-5.66,-2.00
Kosovo (under UNSC res. 1244),5269.78,,,,1662.01,30.54,6.55,3.92,-8.50,-0.51,,18.60,0.62,11.14,1.52,0.73,107.00,12.05,7.22,76.81,62.39,16.05,7.63,0.12,6.21,18.50,0.13,7.20,18.04,90.66,28.86,83.59,-15.05,-9.01
Republic of Moldova,5274.74,0.77,68.85,11.82,3061.51,36.06,-12.05,-3.93,-26.33,-0.86,,38.15,2.31,12.43,1.81,0.86,106.30,50.20,16.36,68.85,54.95,12.11,5.34,0.47,12.17,37.74,0.55,14.25,41.76,220.63,78.95,207.90,-14.28,-4.65
Tuvalu,5372.76,0.64,64.55,10.57,11.20,24.99,0.15,13.33,0.13,1.13,61.12,0.26,0.02,23.48,3.16,1.44,106.90,0.11,10.16,64.55,51.39,12.89,6.02,0.01,17.75,0.26,0.01,21.28,119.38,328.99,173.23,308.88,-0.02,-1.34
Azerbaijan,5408.05,0.75,69.37,10.54,10312.99,31.44,32.15,3.12,33.24,0.32,,127.09,12.93,12.33,1.66,0.76,112.60,94.93,9.21,69.37,55.83,12.81,5.73,2.10,16.46,125.24,2.41,18.61,52.18,209.07,77.83,192.00,1.08,0.11
Libya,5908.95,0.72,71.91,7.60,6735.28,26.27,79.54,11.81,78.84,1.17,59.19,120.07,2.13,17.83,2.46,1.16,105.70,40.53,6.02,71.91,57.89,14.19,6.15,1.12,9.30,119.10,1.34,11.08,46.02,171.70,71.36,160.00,-0.70,-0.10
Paraguay,5959.44,0.72,70.26,8.86,6703.80,25.64,87.13,12.99,78.90,1.18,58.89,138.37,20.65,20.63,2.47,1.17,105.00,51.24,7.64,70.26,56.72,13.98,6.25,2.14,15.46,136.48,2.54,18.37,58.27,205.96,83.72,189.12,-8.23,-1.23
Ecuador,5965.13,0.74,73.67,8.82,17797.74,27.55,179.53,10.10,215.42,1.21,57.29,298.99,48.51,16.82,2.03,0.97,104.60,119.46,6.72,73.67,59.80,16.32,7.69,3.17,10.58,296.23,3.73,12.45,53.00,166.02,73.30,152.82,35.89,2.02
Belize,6060.97,0.68,70.47,8.85,400.03,25.17,4.65,11.62,5.23,1.31,52.99,7.19,1.10,17.98,2.01,0.96,105.10,2.54,6.35,70.47,56.52,15.47,7.20,0.07,9.74,7.13,0.09,11.74,77.50,230.64,112.89,218.73,0.58,1.44
Marshall Islands,6130.44,0.64,65.27,10.88,42.05,25.02,0.50,11.72,-1.39,-3.31,,0.83,0.10,19.28,2.73,1.23,107.00,0.33,7.56,65.27,52.76,12.71,5.79,0.02,24.30,0.81,0.03,29.57,112.86,292.11,142.85,263.86,-1.90,-44.23
Colombia,6182.71,0.75,72.83,8.86,51516.56,30.77,332.55,6.47,544.53,1.06,65.58,730.20,118.65,14.20,1.72,0.82,104.60,397.65,7.74,72.83,58.98,16.00,7.00,8.00,10.94,723.23,9.47,12.92,63.51,175.77,87.14,162.24,211.98,4.12
Albania,6377.20,0.80,76.46,11.29,2854.71,37.27,-3.10,-1.09,-13.71,-0.48,,29.29,1.33,10.24,1.39,0.66,107.50,32.39,11.33,76.46,62.37,16.29,6.90,0.26,8.94,29.06,0.29,9.99,28.98,103.08,40.73,92.10,-10.61,-3.71
Peru,6635.46,0.76,72.38,9.89,33715.47,28.20,324.47,9.63,392.48,1.16,59.55,593.52,80.90,17.62,2.19,1.05,104.10,269.05,7.99,72.38,58.50,15.53,6.68,5.93,9.98,588.37,7.34,12.38,51.45,186.59,79.83,173.43,68.01,2.02
North Macedonia,6778.56,0.77,73.84,10.23,2103.33,38.27,-9.08,-4.32,-9.58,-0.46,,20.11,0.98,9.56,1.36,0.65,107.80,29.19,13.88,73.84,59.39,13.31,5.21,0.10,4.99,20.03,0.14,6.80,17.45,108.33,30.77,101.52,-0.49,-0.23
Thailand,7060.90,0.80,78.72,8.70,71601.10,39.27,77.16,1.08,78.30,0.11,,644.33,66.02,9.00,1.33,0.64,106.40,567.17,7.92,78.72,64.52,20.22,10.91,4.57,7.08,640.38,5.42,8.32,39.27,129.15,59.84,119.92,1.13,0.02
South Africa,7073.61,0.71,62.34,11.37,59392.26,27.15,498.16,8.39,509.09,0.86,80.88,1176.96,141.65,19.82,2.37,1.09,104.00,678.80,11.43,62.34,49.91,12.36,6.48,31.47,26.66,1149.26,41.65,35.07,135.36,372.46,189.99,345.76,10.93,0.18
Bosnia and Herzegovina,7230.20,0.78,75.30,10.54,3270.94,41.82,-23.94,-7.29,-49.80,-1.52,,27.65,0.82,8.42,1.35,0.65,106.80,51.59,15.71,75.30,60.76,14.22,6.03,0.14,4.88,27.53,0.16,5.58,12.75,90.20,22.58,84.60,-25.87,-7.88
Botswana,7238.80,0.69,61.14,10.34,2588.42,23.48,36.52,14.12,38.32,1.48,46.83,61.00,5.91,23.58,2.79,1.27,103.20,24.48,9.46,61.14,49.42,11.26,5.18,2.04,33.33,59.25,2.73,44.50,137.27,378.26,184.87,343.76,1.82,0.70
Equatorial Guinea,7406.08,0.60,60.59,5.91,1634.47,20.90,35.00,21.46,41.48,2.54,27.31,49.75,9.31,30.50,4.27,1.87,103.20,14.75,9.04,60.59,51.24,11.64,4.99,2.83,56.83,47.55,3.76,75.70,161.30,353.03,157.71,290.69,6.49,3.98
Belarus,7489.72,0.81,72.44,12.14,9578.17,40.17,-69.50,-7.26,-56.54,-0.59,,88.85,2.77,9.28,1.48,0.72,105.80,158.35,16.54,72.44,57.68,13.94,6.59,0.18,1.97,88.70,0.25,2.72,25.62,169.21,66.95,166.31,12.96,1.35
Dominica,7668.16,0.72,72.81,8.14,72.41,31.62,0.31,4.34,0.38,0.52,133.81,0.97,0.11,13.33,1.60,0.77,103.60,0.65,8.99,72.81,59.01,14.72,6.44,0.01,11.53,0.96,0.01,13.68,45.31,155.84,62.63,141.51,0.06,0.79
Brazil,7696.78,0.75,72.75,8.13,214326.22,32.82,976.72,4.56,997.10,0.47,,2760.96,353.27,12.88,1.64,0.78,104.50,1784.24,8.33,72.75,58.94,16.00,6.72,35.50,12.84,2729.88,40.16,14.45,59.22,183.52,87.24,169.81,20.38,0.10
Turkmenistan,7885.30,0.75,69.26,11.26,6341.86,25.84,95.20,15.01,90.69,1.43,48.47,136.97,5.27,21.59,2.67,1.23,106.70,41.77,6.59,69.26,57.38,13.81,5.79,4.82,35.09,132.86,5.67,41.03,74.94,205.06,75.87,168.76,-4.50,-0.71
Saint Vincent and the Grenadines,8360.06,0.75,69.63,10.83,104.33,33.00,-0.06,-0.52,-0.44,-0.42,,1.35,0.18,12.90,1.80,0.86,103.30,1.40,13.43,69.63,55.73,13.35,6.07,0.02,11.83,1.33,0.02,14.09,48.91,217.53,90.06,204.85,-0.38,-3.63
Dominican Republic,8476.75,0.77,72.61,9.31,11117.87,27.11,130.76,11.75,115.79,1.04,66.59,205.05,31.37,18.43,2.27,1.07,104.40,74.29,6.68,72.62,60.17,16.97,8.45,5.51,26.84,200.20,6.80,32.99,72.98,187.30,79.87,158.32,-14.97,-1.35
Gabon,8635.80,0.71,65.82,9.44,2341.18,21.62,46.54,19.88,48.06,2.05,33.76,63.53,9.77,27.14,3.49,1.62,102.10,16.99,7.26,65.82,53.94,12.93,5.88,1.86,29.21,61.90,2.50,39.41,102.97,277.27,122.02,241.82,1.52,0.65
Grenada,9010.51,0.80,74.94,9.03,124.61,30.84,0.97,7.81,0.89,0.71,97.49,1.99,0.14,15.96,2.00,0.96,104.00,1.02,8.15,74.94,61.26,16.50,7.96,0.03,13.18,1.97,0.03,16.08,36.15,135.58,47.55,120.04,-0.09,-0.68
Mauritius,9068.98,0.80,73.56,10.43,1298.92,36.81,0.91,0.70,0.44,0.03,,13.44,1.16,10.34,1.41,0.68,103.50,12.53,9.64,73.56,59.93,16.23,7.55,0.19,14.37,13.27,0.23,16.98,50.96,167.67,73.87,151.84,-0.48,-0.37
